ISIC Rev 5 Code (with Section),ISIC Rev 5 Code,ISIC Rev 5 Title,ISIC Rev 5 Introductory Text,ISIC Rev 5 Includes,ISIC Rev 5 Includes Also,ISIC Rev 5 Excludes
A,A,"Agriculture, forestry and fishing",,"This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, production of animal products from a farm or natural habitats.","This section includes also:organic agriculture, soilless cultivation of crops, hydroponics and aquaponics, aquaculture, the growing of genetically modified crops and the raising of genetically modified animals","This section excludes undifferentiated subsistence goods-producing activities of households, which is classified in class 9810.
"
A01,01,"Crop and animal production, hunting and related service activities",,"This division includes two basic activities, namely the production of crop products and production of animal products. This division includes growing of crops on open land, under cover or in greenhouses.Group 015 (Mixed farming) breaks with the usual principles for identifying main activity. It accepts that many agricultural units have reasonably balanced crop and animal production, and that it would be arbitrary to classify them in one category or the other.This division includes the soilless cultivation of crops, including hydroponics and aquaponics.","This division also includes service activities incidental to agriculture, as well as hunting, trapping and related activities.","Agricultural activities exclude any subsequent processing of the agricultural products (classified under divisions 10 and 11 (Manufacture of food products and beverages) and division 12 (Manufacture of tobacco products)), beyond that needed to prepare them for the primary markets. The preparation of products for the primary markets is included here.The division excludes field construction (e.g. agricultural land terracing, drainage, preparing rice paddies etc.) classified in section F (Construction) and buyers and cooperative associations engaged in the marketing of farm products classified in section G. Also excluded is the landscape service activities, which is classified in class 8130."
A011,011,Growing of non-perennial crops,,"This group includes the growing of non-perennial crops, i.e. plants that do not last for more than two growing seasons. Included is the growing of these plants for the purpose of seed production.",,
A0111,0111,"Growing of cereals (except rice), leguminous crops and oil seeds",,"This class includes all forms of growing of cereals, leguminous crops and oil seeds in open fields, for obtaining crops or for seed production. The growing of these crops is often combined within agricultural units.
This class includes:
- growing of cereals such as:
• wheat
• grain maize
• sorghum
• barley
• rye
• oats
• millets
•Pseudocereals, fruits or seeds - used as cereals, such as
    ◦ quinoa
    ◦ amaranth
    ◦ chia
- growing of leguminous crops such as:
• beans
• broad beans
• chick peas
• cow peas
• lentils
• lupines
• peas
• pigeon peas
- growing of oil seeds such as:
• soya beans
• groundnuts
• castor bean
• linseed
• mustard seed
• niger seed
• rapeseed
• safflower seed
• sesame seed
• sunflower seed
",,"This class excludes:
- growing of rice, see 0112
- growing of sweet corn, see 0113
- growing of maize, lupines, kale for fodder, see 0119 
- growing of oleaginous fruits, see 0126
"
A0112,0112,Growing of rice,,"This class includes:- growing of rice",,
A0113,0113,"Growing of vegetables and melons, roots and tubers",,"This class includes:
- growing of leafy or stem vegetables, such as:
• artichokes
• asparagus
• cabbages
• cauliflower and broccoli
• lettuce and chicory
• spinach
- growing of fruit bearing vegetables,such as:
• cucumbers and gherkins
• eggplants (aubergines)
• tomatoes
• melons
- growing of root, bulb or tuberous vegetables, such as.:
• carrots
• turnips
• garlic
• onions (incl. shallots)
• leeks and other alliaceous vegetables
- growing of mushrooms and truffles
- growing of vegetable seeds, including sugar beet seeds, excluding other beet seeds
- growing of sugar beet
- growing of chillies, peppers (capsicum spp.)
- growing of roots and tubers, such as:
• potatoes
• sweet potatoes
• cassava
• yams
","This class includes also: growing of sweet corn
","This class excludes:
- spices and aromatic crops, see 0128.
- growing of mushroom spawn, see 0130.
"
A0114,0114,Growing of sugar cane,,"This class includes:
- growing of sugar cane",,"This class excludes:- growing of sugar beet, see 0113"
A0115,0115,Growing of tobacco,,"This class includes:- growing of unmanufactured tobacco",,"This class excludes:- manufacture of tobacco products, see 1200"
A0116,0116,Growing of fibre crops,,"This class includes growing of fiber crops such as:- growing of cotton- growing of jute, kenaf and other textile bast fibres- growing of flax and hemp - growing of sisal and other textile fibre of the genus agave- growing of abaca, ramie and other vegetable textile fibres",,
A0119,0119,Growing of other non-perennial crops,,"This class includes the growing of all other non-perennial crops, e.g:- growing of swedes, mangolds, roots, clover, alfalfa, sainfoin, maize, lupines, other grasses, Kale for fodder and similar crops forage products - growing of beet seeds and seeds of forage plants- growing of flowers- production of cut flowers and flower buds- growing of flower seeds",,"This class excludes:- growing of non-perennial spices, aromatic, drug and pharmaceutical crops, see 0128- growing of sugar beet seeds, see 0113"
A012,012,Growing of perennial crops,,"This group includes the growing of perennial crops, i.e. plants that lasts for more than two growing seasons, either dying back after each season or growing continuously. Included is the growing of these plants for the purpose of seed production.",,
A0121,0121,Growing of grapes,,"This class includes:- growing of grapes for consumption or the production of wine, juice, vinegar and other dried fruit, e.g. raisins, zante currants and sultanas",,"This class excludes:- manufacture of wine, see 1102- processing and preserving of grapes, see 1030"
A0122,0122,Growing of tropical and subtropical fruits,,"This class includes:
- growing of tropical and subtropical fruits such as:
• avocados
• bananas and plantains
• dates
• figs
• mangoes
• papayas
• pineapples
",,
A0123,0123,Growing of citrus fruits,,"This class includes:
- growing of citrus fruits such as:
• grapefruit and pomelo
• lemons and limes
• oranges
• tangerines, mandarins and clementines
",,
A0124,0124,Growing of pome fruits and stone fruits,,"This class includes:
- growing of pome fruits and stone fruits such as:
• apples
• apricots
• cherries and sour cherries
• peaches and nectarines
• pears and quinces
• plums and sloes
",,
A0125,0125,Growing of other tree and bush fruits and nuts,,"This class includes:- growing of berries such as:• blueberries• currants• gooseberries• kiwi fruit• raspberries• strawberries- growing of fruit seeds- growing of edible nuts such as:• almonds• cashew nuts• chestnuts• hazelnuts• pistachios• walnuts- growing of other tree and bush fruits such as:• locust beans",,"This class excludes:- growing of coconuts, see 0126"
A0126,0126,Growing of oleaginous fruits,,"This class includes:
- growing of oleaginous fruits such as:
• coconuts
• olives
• oil palms",,"This class excludes:- growing of soya beans, groundnuts and other oil seeds, see 0111"
A0127,0127,Growing of beverage crops,,"This class includes:- growing of beverage crops:• coffee• tea• maté• cocoa",,"This class excludes:
• Growing of grapes see 0121
• Growing of hops see 0128
"
A0128,0128,"Growing of spices, aromatic, drug and pharmaceutical crops",,"This class includes:- growing of perennial and non-perennial spices and aromatic crops:• pepper (piper spp.)• nutmeg, mace and cardamoms• anise, badian and fennel• cinnamon (canella)• cloves• ginger• vanilla• hops• caraway- growing of drug and narcotic crops","This class includes also:
sun drying of spices, aromatic, medicinal and pharmaceutical plants, if carried out by the same unit that grows them
","This class excludes:
sun drying of spices, aromatic, medicinal and pharmaceutical plants if carried out by a different unit, see 0163
"
A0129,0129,Growing of other perennial crops,,"This class includes:- growing of rubber trees for harvesting of latex- growing of Christmas trees- growing of trees for extraction of sap- growing of vegetable materials of a kind used primarily for plaiting- growing of short rotation coppice as energy crop, e.g. poplar and willowIncludes also: ",,"This class excludes:- growing of flowers, production of cut flower buds and growing of flower seeds, see 0119- gathering of tree sap or rubber-like gums in the wild, see 0230"
A013,013,Plant propagation,See class 0130,,,
A0130,0130,Plant propagation,,"This class includes the production of all vegetative planting materials including cuttings, suckers and seedlings for direct plant propagation or to create plant grafting stock into which selected scion is grafted for eventual planting to produce crops.This class includes:- growing of plants for planting- growing of plants for ornamental purposes, including turf for transplanting- growing of live plants for bulbs, tubers and roots; cuttings and slips; mushroom spawn - operation of tree nurseries, except forest tree nurseries",,"This class excludes:- growing of plants for the purpose of seed production, see 011, 012- operation of forest tree nurseries, see 0210"
